State/UT,No of RO's where EV Charging Facility available,
Andaman & Nicobar,2,
Andhra Pradesh,191,
Arunachal Pradesh,9,
Assam,61,
Bihar,87,
Chandigarh,14,
Chhattisgarh,115,
Delhi,75,
Goa,31,
Gujarat,219,
Haryana,199,
Himachal Pradesh,33,
Jharkhand,47,
Jammu and Kashmir,26,
Karnataka,250,
Kerala,102,
Lakshadweep,1,
Madhya Pradesh,242,
Maharashtra,183,
Manipur,16,
Meghalaya,8,
Nagaland,6,
Odisha,118,
Pondicherry,3,
Punjab,125,
Rajasthan,281,
Tamil Nadu,235,
Telangana,224,
Tripura,16,
Dadra and Nagar Haveli and Daman and Diu,1,
Uttar Pradesh,308,
Uttarakhand,43,
West Bengal,177,
Grand Total,3448,
